Language_ID,Value
mund1320,b̤
mund1320,d̤
mund1320,d̠ʒ̤
mund1320,ɖ̤
mund1320,e̞
mund1320,ɡ̤
mund1320,h
mund1320,ɪ
mund1320,j
mund1320,k
mund1320,kʰ
mund1320,l
mund1320,ɭ
mund1320,m
mund1320,n
mund1320,ɳ
mund1320,ŋː
mund1320,o̞
mund1320,p
mund1320,pʰ
mund1320,r
mund1320,s
mund1320,t
mund1320,tʰ
mund1320,t̠ʃ
mund1320,t̠ʃʰ
mund1320,ʈ
mund1320,ʈʰ
mund1320,ʊ
mund1320,w
mund1320,ʔ
mund1320,ˀb
mund1320,ˀd
mund1320,ˀd̠ʒ
mund1320,ˀɖ
mund1320,ˀɡ
khar1287,a
khar1287,ã
khar1287,b
khar1287,b̤
khar1287,d
khar1287,d̤
khar1287,d̠ʒ
khar1287,d̠ʒ̤
khar1287,ɖ
khar1287,ɖ̤
khar1287,e
khar1287,ɛ̃
khar1287,ɡ
khar1287,ɡ̤
khar1287,ɦ
khar1287,i
khar1287,ĩ
khar1287,j
khar1287,k
khar1287,kʰ
khar1287,l
khar1287,m
khar1287,n
khar1287,ɲ
khar1287,ŋ
khar1287,o
khar1287,õ
khar1287,p
khar1287,pʰ
khar1287,ɽ
khar1287,ɾ
khar1287,s
khar1287,t
khar1287,tʰ
khar1287,t̠ʃ
khar1287,t̠ʃʰ
khar1287,ʈ
khar1287,ʈʰ
khar1287,u
khar1287,ũ
khar1287,w
khas1269,a
khas1269,aː
khas1269,b
khas1269,d
khas1269,d̠ʒ
khas1269,e
khas1269,ə
khas1269,h
khas1269,i
khas1269,ɪ̯
khas1269,k
khas1269,kʰ
khas1269,ɭ
khas1269,m
khas1269,n
khas1269,ɲ
khas1269,ŋ
khas1269,o
khas1269,p
khas1269,pʰ
khas1269,r
khas1269,s
khas1269,ʃ
khas1269,t
khas1269,tʰ
khas1269,u
khas1269,ʊ̯
khas1269,ʔ
seda1262,a
seda1262,a̰
seda1262,e
seda1262,ḛ
seda1262,ɛ
seda1262,ɛ̰
seda1262,h
seda1262,i
seda1262,ḭ
seda1262,j
seda1262,k
seda1262,kʰ
seda1262,l
seda1262,l̥
seda1262,m
seda1262,m̥
seda1262,mb
seda1262,n
seda1262,n̥
seda1262,nd
seda1262,n̠d̠ʒ
seda1262,ɲ
seda1262,ɲ̥
seda1262,ŋ
seda1262,ŋ̥
seda1262,ŋɡ
seda1262,o
seda1262,o̰
seda1262,ɔ
seda1262,ɔ̰
seda1262,p
seda1262,pʰ
seda1262,r
seda1262,r̥
seda1262,s
seda1262,ʃ
seda1262,t
seda1262,tʰ
seda1262,t̠ʃ
seda1262,u
seda1262,ṵ
seda1262,w
seda1262,ʍ
seda1262,ʔ
seda1262,ˀb
seda1262,ˀd
seda1262,ˀl
seda1262,ˀm
seda1262,ˀn
seda1262,ˀɲ
seda1262,ˀŋ
seda1262,ˀr
seda1262,ˀw
cent1989,a̟
cent1989,a̟̙ː
cent1989,ɒ
cent1989,ɒː
cent1989,ɓ
cent1989,ɗ
cent1989,e̘ː
cent1989,ei̙
cent1989,ə
cent1989,ə̘ː
cent1989,əɨ̙
cent1989,ɛ
cent1989,ɛ̘ː
cent1989,h
cent1989,iː
cent1989,ɪ
cent1989,ɪ̈
cent1989,ɨː
cent1989,j
cent1989,k
cent1989,kʰ
cent1989,lˠ
cent1989,m
cent1989,n
cent1989,ɲ
cent1989,ŋ
cent1989,o̘ː
cent1989,ou̙
cent1989,ɔ
cent1989,ɔ̘ː
cent1989,p
cent1989,pʰ
cent1989,ɽ
cent1989,s
cent1989,t
cent1989,tʰ
cent1989,t̠ʃ
cent1989,t̠ʃʰ
cent1989,uː
cent1989,ʊ
cent1989,ʋ
cent1989,ʔ
viet1252,˦˥
viet1252,˦˥̰
viet1252,˧
viet1252,˨˩
viet1252,˨˩̤
